term,valence,arousal,dominance
thyme,0.122,-0.49,-0.35
thymus,0.083,-0.4,0.0
thyroid,-0.532,-0.09,-0.254
thyroidal,0.0,0.0,0.429
thyself,0.5,0.0,0.524
tiara,0.438,-0.4,-0.056
tibet,0.625,0.0,0.407
tibetan,0.333,-0.667,0.333
tibia,-0.1,-0.396,-0.15
tic,-0.458,-0.124,-0.5
tick,0.042,-0.228,-0.176
ticked,-0.062,-0.228,-0.09
ticked off,-0.536,0.104,-0.234
ticker,-0.042,-0.058,0.018
tickertape,0.444,0.625,0.333
ticket,0.368,-0.226,-0.132
ticket holder,0.166,-0.19,-0.134
ticketless,-0.333,-0.074,-0.208
tickle,0.52,0.454,-0.316
tickled,0.51,0.414,-0.272
tickler,-0.333,0.667,-0.222
ticklish,0.646,0.628,-0.31
ticklishness,0.476,0.667,-0.542
tickly,0.333,0.867,-0.571
ticktack,0.0,0.542,0.0
tidal,0.184,0.078,0.038
tidal wave,-0.463,0.788,0.288
tidally,0.0,0.556,-0.417
tidbit,0.104,-0.236,-0.23
tiddlywinks,0.444,0.429,-0.222
tide,0.082,0.112,-0.16
tided,0.25,-0.667,-0.444
tidemark,0.0,-0.667,0.0
tidewater,0.481,-0.5,0.0
tidily,0.667,-0.619,0.333
tidiness,0.667,-0.63,0.5
tidings,0.22,0.02,0.388
tidy,0.52,-0.584,0.294
tidy up,0.41,-0.16,-0.178
tie,0.326,-0.072,-0.138
tie in,-0.258,-0.262,-0.166
tie into,-0.162,-0.196,-0.034
tie to,-0.072,-0.104,-0.162
tie up,-0.242,-0.11,-0.16
tieback,0.0,0.0,0.0
tiebreaker,0.667,0.952,0.667
tied,0.0,-0.667,-0.524
tied up,-0.518,-0.032,-0.226
tier,0.04,-0.51,0.12
tiff,0.062,-0.17,-0.314
tiger,-0.042,0.53,0.328
tigerish,-0.286,1.0,0.917
tigger,0.81,1.0,0.556
tight,-0.062,-0.164,-0.258
tight end,-0.62,-0.148,-0.064
tight race,0.104,0.246,0.322
tighten,-0.224,-0.026,0.254
tighten up,-0.5,0.126,0.108
tighter,-0.667,-0.083,0.296
tightfisted,-0.667,-0.667,0.143
tightlipped,-0.333,-0.667,0.125
tightly,0.0,0.667,0.542
tightness,-0.312,0.212,0.518
tightrope,-0.292,0.306,-0.442
tights,0.166,-0.314,-0.462
tightwad,-0.667,-0.667,0.0
tigress,0.042,0.667,0.958
tike,0.25,0.625,-0.593
til now,-0.138,-0.276,0.108
tilapia,0.111,-0.8,0.0
tilde,0.04,-0.372,-0.358
tile,-0.142,-0.51,-0.304
tiled,0.625,-0.667,0.167
tiling,0.2,-0.34,-0.37
till,-0.01,-0.346,-0.362
tillage,0.104,0.182,0.08
tiller,-0.104,-0.18,-0.42
tilt,-0.27,0.098,-0.074
tilter,0.0,0.667,0.542
tilting,-0.045,-0.232,-0.32
timber,-0.336,-0.596,-0.228
timberland,0.1,-0.17,0.142
timberline,0.0,-0.381,0.0
timberwork,0.524,-0.593,0.0
timbre,-0.08,-0.04,-0.408
time,0.208,-0.424,0.218
time being,-0.07,-0.098,-0.142
time bomb,-0.612,0.18,-0.13
time capsule,0.138,0.062,-0.104
time consuming,-0.068,0.014,-0.034
time flies,0.034,0.032,-0.096
time frame,0.142,0.09,-0.09
time in,0.194,-0.018,-0.142
time lapse,-0.276,-0.046,-0.162
time limit,-0.388,-0.014,-0.31
time line,-0.134,-0.018,0.178
time machine,0.194,0.12,0.242
time management,0.142,0.184,0.518
time off,0.034,-0.338,-0.392
time out,-0.45,-0.436,-0.082
time outs,-0.678,-0.338,-0.138
time period,-0.034,0.09,-0.256
time series,0.086,0.074,0.276
time slot,-0.13,-0.11,-0.184
time span,0.166,-0.136,-0.072
time spent,0.142,-0.112,0.266
time travel,0.156,0.2,0.296
time traveling,0.258,0.126,0.166
time up,-0.1,0.034,-0.25
time warp,0.134,-0.034,-0.26
time zone,-0.234,0.03,0.032
timecard,0.0,0.667,0.222
timed,0.0,0.667,0.458
timekeeper,0.63,0.542,0.667
timekeeping,0.667,0.63,0.593
timeless,-0.184,-0.064,0.166
timelessly,0.963,-1.0,0.0
timelessness,1.0,-1.0,0.458
timeline,0.172,-0.286,0.0
timeliness,0.52,-0.192,0.164
timely,0.73,-0.226,0.182
timeout,-0.312,-0.134,-0.356
timepiece,0.3,-0.442,-0.078
timer,-0.062,-0.134,0.0
times,-0.02,-0.442,-0.122
timesaver,0.708,0.667,0.458
timesaving,1.0,0.63,0.667
timescale,0.0,0.0,0.167
timeserver,-0.667,0.556,-0.667
timeserving,-0.667,-0.667,-0.75
timeshare,-0.238,0.667,-0.222
timestamp,0.0,0.074,0.125
timetable,0.122,-0.622,-0.018
timewasters,-0.218,0.07,-0.418
timeworn,-0.375,-0.667,-0.333
timid,-0.346,-0.448,-0.736
timidity,-0.334,-0.284,-0.694
timidly,-0.556,-1.0,-0.926
timing,0.042,-0.378,0.154
tin,-0.062,-0.26,-0.566
tin can,-0.206,-0.394,-0.276
tin foil,-0.366,-0.25,-0.376
tin roof,0.0,-0.316,-0.32
tincture,-0.12,-0.28,-0.196
tinder,0.0,0.857,-0.333
tinderbox,-0.458,1.0,0.37
tine,-0.124,-0.254,-0.432
tinfoil,-0.104,-0.432,-0.378
tinge,-0.062,-0.416,-0.472
tinged,0.0,0.19,0.0
tingle,-0.08,0.12,-0.472
tingling,-0.146,0.23,-0.32
tiniest,-0.333,-1.0,-0.889
tink,0.0,0.619,-0.458
tinker,-0.208,0.056,-0.45
tinkerer,0.375,0.619,0.407
tinkering,0.062,-0.02,-0.104
tinkle,0.124,0.058,-0.288
tinkler,-0.476,0.333,0.0
tinkles,0.619,0.333,-0.37
tinkling,0.224,0.06,-0.352
tinned,0.0,-0.571,-0.296
tinnitus,-0.468,0.63,-0.339
tinplate,0.0,-0.556,0.0
tinsel,0.326,0.042,-0.054
tinsmith,0.0,0.667,0.444
tint,0.164,-0.416,-0.454
tinwork,0.0,0.667,0.429
tiny,-0.042,-0.608,-0.75
tip in,0.214,-0.106,-0.194
tip jar,-0.036,-0.164,-0.104
tip off,0.046,0.0,-0.162
tip over,-0.1,-0.07,-0.27
tip top,0.536,-0.208,0.344
tipoff,0.458,0.667,0.458
tipped,0.0,0.63,-0.286
tipper,-0.146,0.142,-0.138
tipping,0.333,0.625,0.458
tipping point,-0.124,0.312,0.1
tippy toes,0.26,-0.162,-0.2
tipsiness,0.333,0.667,-0.556
tipster,-0.02,-0.076,-0.02
tipsy,0.02,0.25,0.14
tiptoe,0.02,-0.02,-0.186
tiptop,1.0,-0.125,0.857
tirade,-0.244,0.174,0.064
tiramisu,0.667,-0.667,0.042
tire,-0.124,-0.23,-0.238
tire of,-0.312,-0.266,-0.29
tire pressure,-0.548,0.032,-0.256
tired,-0.75,-0.366,-0.523
tired of,-0.608,-0.358,-0.096
tiredly,-0.625,-0.933,-0.75
tiredness,-0.226,-0.184,-0.516
tiredofit,-0.4,-0.46,-0.592
tireless,0.314,0.5,0.29
tirelessly,0.667,1.0,0.63
tirelessness,0.867,1.0,0.667
tiresome,-0.52,0.084,-0.694
tiresomely,-0.667,-0.63,-0.481
tiresomeness,-0.708,-0.667,-0.458
tiring,-0.694,0.02,-0.648
tissue,0.116,-0.528,-0.31
tissue paper,0.066,-0.344,-0.25
tistheseason,0.292,0.096,-0.13
tit,-0.196,0.078,-0.224
titan,0.196,0.306,0.622
titanium,0.04,-0.06,0.408
titans,0.667,0.667,1.0
tithe,0.014,-0.448,-0.23
titillate,0.667,0.704,0.292
titillation,0.429,0.667,0.296
title,0.416,-0.288,0.148
title track,0.444,0.014,0.096
titled,0.354,-0.52,0.316
titleholder,0.63,0.625,0.958
titmouse,0.095,0.667,-0.167
titter,0.333,0.667,-0.407
titties,0.667,0.0,-0.296
titty,0.122,0.096,-0.412
titular,0.408,-0.23,0.52
tizzy,-0.583,1.0,-0.625
to,0.0,0.0,0.0
to blame,-0.69,0.138,-0.258
to boot,-0.028,-0.03,-0.242
to come,0.032,0.034,-0.096
to date,0.162,-0.046,-0.104
to death,-0.9,-0.172,-0.366
to do,-0.066,-0.222,-0.222
to go,0.194,0.076,-0.31
to hand,0.108,-0.03,0.102
to heart,0.5,0.032,0.172
to me,0.22,-0.19,-0.334
to perfection,0.646,0.018,0.536
to pieces,-0.516,-0.084,-0.4
to rule,0.194,-0.028,-0.062
to sea,0.142,-0.14,-0.032
to spare,0.072,-0.328,-0.234
to suck,-0.734,0.058,-0.48
to that,-0.124,-0.098,-0.066
to-do list,0.032,-0.184,0.194
toad,-0.396,-0.096,-0.608
toadfish,-0.148,0.333,-0.19
toadstool,-0.667,-0.083,-0.222
toady,-0.667,0.667,-0.704
toast,0.48,-0.236,-0.288
toaster,0.084,-0.326,-0.226
toaster oven,0.13,-0.152,0.038
toastmaster,0.667,0.667,0.722
toasty,0.396,-0.078,-0.208
tobacco,-0.346,0.092,-0.226
tobacconist,-0.333,-0.667,0.292
toboggan,0.333,0.704,0.0
toby,-0.146,-0.25,-0.34
tock,0.0,0.667,0.0
tod,-0.062,-0.34,-0.232
today,0.612,-0.388,-0.276
toddle,0.381,0.625,-0.857
toddler,0.509,-0.062,-0.264
toe,-0.188,-0.558,-0.414
toe nail,-0.066,-0.206,0.0
toehold,0.0,0.143,-0.238
toeless,-0.333,-0.143,-0.407
toenail,0.06,-0.24,-0.388
toenails,-0.286,-0.542,-0.417
toffee,0.316,0.02,-0.208
tofu,0.042,-0.34,-0.434
toga,0.396,-0.214,-0.254
together,0.748,-0.216,0.316
together with,0.482,-0.132,0.096
togetherness,0.812,-0.28,0.27
toggle,0.0,0.667,0.0
toil,0.116,0.02,0.166
toiler,0.0,0.667,-0.556
toilet,-0.02,-0.42,-0.534
toilet bowl,-0.74,-0.34,-0.156
toilet paper,-0.206,-0.242,-0.318
toilet seat,-0.42,-0.344,-0.42
toilet water,-0.656,-0.2,-0.42
toiletpaper,0.0,-0.143,-0.542
toiletry,0.333,-0.667,-0.333
toilette,0.333,-0.667,-0.333
toils,-0.04,0.42,-0.036
toilsome,-0.667,0.444,-0.667
toke,-0.083,0.667,-0.037
token,0.02,-0.164,-0.172
tokenism,-0.708,0.556,-0.556
told,-0.096,-0.254,-0.034
tolerability,0.542,-0.667,-0.185
tolerable,0.5,-0.3,-0.252
tolerably,0.333,-0.63,-0.037
tolerance,0.75,-0.588,0.298
tolerant,0.53,-0.616,0.236
tolerantly,0.667,-0.63,0.037
tolerate,0.448,-0.14,0.176
tolerated,-0.333,-0.625,-0.583
toleration,0.552,-0.116,0.454
toll,-0.408,-0.156,-0.094
toll road,-0.4,0.0,-0.13
tollbooth,0.0,0.571,0.0
tollgate,-0.333,0.583,0.259
tollhouse,0.375,-0.444,0.0
tomahawk,0.02,0.284,0.008
tomato,0.1,-0.634,-0.45
tomato juice,0.258,-0.388,-0.206
tomato sauce,0.082,-0.36,0.036
tomato soup,0.226,-0.454,-0.048
tomatoes,0.23,-0.52,-0.456
tomb,-0.776,0.0,-0.314
tomblike,-0.476,-0.875,-0.583
tomboy,0.074,0.667,0.571
tomboyish,0.111,0.667,0.37
tombstone,-0.592,-0.118,-0.378
tomcat,0.04,-0.176,-0.228
tome,-0.142,-0.368,-0.016
tomfool,-0.5,0.667,-0.619
tomfoolery,-0.19,0.667,-0.625
tomorrow,0.584,-0.246,-0.186
ton,0.12,-0.164,0.208
tonal,0.056,0.111,0.333
tonality,0.125,0.0,0.25
tonally,0.583,0.0,0.0
tone,0.102,-0.29,-0.178
tone deaf,-0.552,-0.118,-0.448
tone down,-0.344,-0.292,-0.434
tone in,-0.072,-0.154,-0.068
toneless,-0.389,-1.0,-0.75
tonelessly,-0.417,-0.917,-0.762
toner,-0.104,-0.4,-0.264
tong,-0.05,-0.04,-0.26
tongs,0.0,-0.082,-0.358
tongue,0.084,-0.136,-0.036
tongue piercing,-0.234,0.484,-0.068
tongued,0.0,0.333,-0.222
tonic,0.082,-0.28,0.0
tonight,-0.036,-0.178,-0.034
tonnage,-0.354,-0.236,0.18
tons of,0.172,-0.142,-0.058
tonsil,-0.292,-0.389,-0.259
tonsillectomy,-0.524,0.481,-0.407
tonsillitis,-0.667,-0.333,-0.75
tonsils,-0.306,-0.254,-0.434
too,0.0,0.0,0.0
too bad,-0.656,-0.12,-0.63
too large,-0.25,0.19,0.194
too many,-0.064,0.05,0.036
too much,-0.29,0.134,0.0
too soon,-0.104,-0.122,-0.08
toocold,-0.16,0.1,-0.242
took,0.0,0.042,0.143
tool,-0.02,-0.3,0.188
tool box,0.032,-0.142,0.0
toolbar,0.0,-0.25,0.292
toolbox,0.062,-0.368,-0.056
tooling,0.02,-0.188,0.268
toolkit,0.667,0.286,0.625
toolmaker,0.63,0.667,0.792
toolshed,0.0,-0.375,0.037
toomuchtodo,-0.16,0.376,-0.29
toot,0.0,-0.038,-0.254
tooter,0.0,0.667,0.0
tooth,-0.122,-0.5,-0.266
tooth brush,0.1,-0.166,0.034
tooth fairy,0.234,-0.048,0.044
toothache,-0.624,0.706,-0.176
toothbrush,0.034,-0.34,-0.358
toothed,-0.102,-0.212,-0.296
toothless,-0.376,0.082,-0.456
toothlessly,-0.625,-0.667,-0.75
toothpaste,0.02,-0.42,-0.258
toothpick,0.122,-0.568,-0.63
toothsome,0.667,0.259,0.185
toothy,0.296,0.0,0.042
toots,0.104,-0.04,-0.098
tootsie roll,0.036,-0.282,0.052
top,0.52,-0.2,0.108
top class,0.642,0.156,0.556
top dog,0.242,-0.086,-0.094
top dollar,0.392,0.102,0.6
top down,-0.222,-0.046,0.0
top end,0.234,-0.072,0.066
top floor,0.0,0.052,0.0
top gear,0.296,0.242,0.214
top gun,-0.032,0.24,0.094
top hat,0.036,-0.052,0.096
top man,0.388,-0.03,0.148
top notch,0.666,0.058,0.166
top off,0.166,-0.122,0.09
top out,0.096,-0.11,0.0
top player,0.678,0.084,0.566
top priority,0.532,0.172,0.438
top quality,0.724,0.104,0.434
top scorer,0.434,0.184,0.134
top secret,0.104,0.158,0.448
top sheet,0.0,-0.18,0.034
top shelf,0.194,0.032,0.358
top speed,0.0,0.468,0.592
top spot,0.214,-0.05,0.154
top story,0.37,-0.108,0.656
top ten,0.548,0.156,0.392
top that,0.0,-0.064,0.16
top up,0.166,-0.076,-0.026
topaz,0.286,-0.35,-0.232
topcoat,0.524,0.0,0.111
topflight,0.857,0.429,0.867
topiary,0.667,-0.556,0.167
topic,0.04,-0.448,-0.146
topical,0.122,-0.32,0.0
topicality,0.333,-0.571,0.481
topically,0.0,0.067,0.111
topknot,0.0,0.0,0.238
topless,0.25,0.53,-0.172
topmast,0.0,0.037,0.292
topmost,0.667,-0.63,0.792
topnotch,1.0,0.0,0.958
topographer,0.667,0.667,0.619
topographic,0.208,-0.244,0.116
topographical,-0.124,-0.3,0.076
topographically,0.0,-0.708,0.417
topography,-0.062,-0.286,0.012
topologic,0.0,-0.667,0.476
topological,0.0,-0.5,0.458
topologist,0.0,0.238,0.741
topology,0.0,0.0,0.375
topped,0.667,-0.542,0.583
topping,0.619,0.0,0.667
topple,-0.604,0.64,0.146
topsail,0.25,0.667,0.042
topside,0.416,-0.068,0.196
topsoil,0.481,-0.444,-0.259
topspin,0.667,0.714,0.583
tor,-0.326,-0.14,-0.164
torch,0.062,0.26,0.09
torchbearer,0.958,0.667,0.556
torchlight,0.444,0.4,0.083
torchwood,0.0,-0.083,0.037
torment,-0.886,0.5,-0.226
tormented,-0.858,0.71,-0.354
tormentor,-1.0,1.0,0.792
torn,-0.694,0.02,-0.434
tornado,-0.48,0.792,0.568
toro,0.0,0.333,0.524
torpedo,-0.562,0.588,0.414
torpid,-0.667,-1.0,-0.875
torpidly,-0.667,-1.0,-0.852
torque,-0.068,-0.25,-0.188
torrent,0.082,0.49,0.352
torrential,-0.667,0.792,0.667
torrentially,0.0,1.0,0.296
torrid,-0.438,0.25,0.034
torridly,-0.37,0.944,0.625
torridness,-0.667,0.926,0.417
torsion,-0.376,0.302,-0.196
torso,-0.184,-0.212,-0.019
tort,-0.542,0.27,-0.09
torte,0.542,-0.519,0.0
tortellini,0.556,-0.25,0.037
tortilla,0.037,0.0,0.0
tortilla chips,0.138,-0.264,-0.068
tortilla soup,0.2,-0.23,-0.038
tortious,-0.376,0.448,-0.018
tortoise,0.34,-0.941,-0.413
tortoiseshell,0.375,-0.917,0.0
tortuous,-0.612,0.51,-0.236
tortuously,-0.667,0.625,-0.381
torture,-0.77,0.756,0.11
tortured,-0.876,0.78,-0.278
torturer,-1.0,1.0,1.0
torturous,-1.0,0.708,-0.519
torturously,-0.952,0.667,-0.81
tory party,-0.166,-0.016,-0.108
toss,-0.164,0.45,0.15
toss in,0.034,-0.086,-0.178
toss out,-0.452,-0.062,-0.3
toss up,0.036,-0.118,-0.094
tosser,-0.857,0.667,-0.704
tossup,0.0,0.667,0.0
tostada,0.611,-0.208,0.0
tot,0.204,-0.138,-0.378
total,0.542,-0.428,0.428
total eclipse,0.162,0.066,0.242
total stranger,-0.31,-0.034,-0.276
totalitarian,-0.667,0.667,1.0
totalitarianism,-1.0,0.667,1.0
totality,0.376,-0.114,0.434
totalize,0.0,0.667,0.708
totally,0.64,-0.156,0.404
totally awesome,0.866,0.094,0.428
tote,0.02,-0.204,0.25
tote bag,-0.1,-0.07,-0.176
totem,0.278,-0.3,0.142
totem pole,-0.062,-0.044,-0.276
totempole,0.0,-0.625,0.148
toto,0.074,0.0,0.0
totter,-0.542,0.625,-0.905
toucan,0.333,0.0,0.0
touch,0.292,-0.046,-0.09
touch base,0.0,0.136,0.034
touch down,0.162,0.136,0.0
touch for,-0.036,-0.034,-0.104
touch of,0.108,-0.266,0.034
touch on,0.036,-0.202,-0.112
touch screen,0.322,-0.092,-0.034
touch up,-0.094,-0.156,-0.19
touch you,-0.104,-0.076,0.034
touchable,0.333,-0.125,0.0
touchback,-0.167,0.625,0.0
touchdown,0.334,0.54,0.172
touched,0.184,-0.24,-0.192
touchiness,-0.63,0.619,-0.619
touching,0.52,-0.122,-0.018
touchline,0.0,-0.476,0.095
touchpad,0.056,0.583,0.167
touchscreen,0.708,0.63,0.292
touchstone,0.667,-0.524,0.583
touchup,0.667,0.667,0.125
touchy,-0.354,0.02,-0.314
tough,-0.312,0.176,0.484
tough call,-0.642,0.06,-0.394
tough choice,-0.534,0.114,0.0
tough crowd,-0.562,0.174,-0.066
tough decision,-0.566,0.326,0.474
tough guy,-0.536,0.062,0.034
tough love,0.0,0.088,0.0
tough luck,-0.62,0.082,-0.2
tough out,-0.42,0.2,-0.178
tough question,-0.656,0.09,-0.086
tough situation,-0.678,0.242,0.066
tough thing,-0.5,0.0,0.238
tough time,-0.482,0.254,-0.182
tough times,-0.624,0.152,-0.114
toughen,-0.084,0.366,0.422
toughen up,-0.234,0.284,-0.148
tougher,-0.5,0.218,0.188
toughest,-0.31,0.316,0.19
toughie,0.63,0.667,0.667
toughly,-0.667,0.619,0.708
toughness,0.104,0.236,0.674
toupee,-0.354,-0.46,-0.352
tour,0.326,0.09,0.086
tour guide,0.2,0.11,0.206
tourism,0.646,0.062,0.09
tourist,0.49,-0.04,-0.14
tourist attraction,0.5,0.388,0.4
touristic,0.625,0.667,0.125
touristy,-0.333,0.63,-0.333
tourmaline,-0.104,0.026,-0.118
tournament,0.388,0.48,0.222
tourney,0.63,0.667,0.583
tourniquet,-0.33,0.042,-0.204
tousle,-0.292,0.667,-0.619
tout,-0.04,0.076,-0.25
tow,0.062,0.0,0.016
tow truck,-0.322,-0.03,0.138
towable,0.0,-0.571,-0.185
toward,0.112,-0.216,0.242
towboat,0.0,0.583,0.667
towel,0.26,-0.584,-0.428
tower,0.212,-0.24,0.288
towering,0.0,0.38,0.612
towhead,0.037,0.0,-0.208
towline,0.0,0.667,-0.583
town,0.102,-0.402,0.254
town center,0.4,-0.116,0.134
town hall,-0.068,-0.13,0.18
townhome,0.619,-0.667,0.0
townhouse,0.244,-0.2,-0.114
townie,-0.296,0.667,-0.222
townscape,0.593,-0.556,0.111
townsfolk,0.0,-0.583,-0.148
township,0.062,-0.416,0.334
townsman,0.0,-0.667,0.0
townspeople,0.354,-0.068,0.138
townswoman,0.185,-0.593,0.0
towrope,0.042,0.476,-0.167
toxic,-0.908,0.77,-0.241
toxic waste,-0.642,-0.146,-0.134
toxically,-1.0,0.667,-0.625
toxicant,-0.875,0.667,0.444
toxicity,-0.792,0.73,-0.018
toxicological,-0.37,0.667,0.375
toxicologically,-0.667,-0.667,-0.143
toxicologist,0.0,-0.542,0.708
toxicology,-0.396,0.472,0.148
toxin,-0.77,0.308,-0.088
toxoplasmosis,-0.815,0.185,-0.333
toy,0.756,-0.16,-0.45
toy store,0.334,0.044,-0.23
toy with,0.034,-0.13,-0.134
toymaker,0.51,0.02,0.072
toyshop,0.741,-0.148,-0.444
trace,0.146,-0.308,-0.034
traceability,0.667,-0.667,0.333
traceable,0.204,-0.26,0.07
traceably,0.519,-0.667,0.111
traced,0.048,0.583,0.0
traceless,-0.19,-1.0,-0.444
tracer,0.146,-0.346,0.29
traces,-0.036,-0.104,-0.222
trachea,-0.104,0.018,-0.226
tracheal,0.0,-0.815,0.0
tracheotomy,-0.667,0.407,-0.048
tracing,-0.164,0.182,0.13
track,-0.104,-0.134,0.052
track down,-0.178,-0.044,0.124
track meet,-0.066,-0.032,-0.1
track record,0.206,0.028,0.226
track star,0.334,0.12,0.266
track suit,0.064,-0.184,0.186
track with,0.068,-0.068,0.028
tracker,-0.204,0.488,0.462
trackless,-0.042,-0.583,-0.625
trackside,0.042,0.583,0.037
tracksuit,0.0,0.63,-0.259
tract,-0.188,-0.156,-0.322
tractability,0.524,-0.533,1.0
tractable,0.27,0.0,-0.062
traction,-0.142,0.17,0.296
tractor,-0.102,0.16,0.238
tractor trailer,0.162,0.122,-0.148
tradable,0.481,0.63,0.481
trade,0.122,0.088,0.38
trade at,-0.328,-0.014,0.0
trade away,0.068,0.076,0.206
trade down,-0.392,0.1,-0.388
trade in,-0.134,0.19,0.3
trade off,-0.518,-0.014,-0.226
trade on,0.112,0.196,0.354
trade school,0.312,0.028,0.108
trade up,0.096,0.022,0.334
tradecraft,0.0,0.667,0.714
traded,0.0,0.667,0.185
trademark,0.334,-0.312,0.5
tradeoff,-0.056,0.593,0.389
trader,0.124,0.264,0.708
tradesman,0.062,-0.138,0.328
tradesperson,0.0,0.625,0.429
tradeswoman,0.222,0.667,0.542
trading,0.27,0.204,0.41
trading card,0.066,0.094,0.066
tradition,0.516,-0.14,0.5
traditional,0.354,-0.558,0.208
traditionalism,0.238,-0.63,0.593
traditionalist,0.0,-0.63,0.625
traditionalistic,0.467,-0.619,0.5
traditionalize,0.625,0.667,0.556
traditionally,0.259,-0.593,0.095
traffic,-0.354,0.118,0.036
traffic calming,0.156,-0.2,-0.066
traffic control,0.142,0.234,0.286
traffic jam,-0.656,0.206,-0.042
traffic light,-0.127,-0.086,-0.11
traffic lights,0.194,0.206,0.064
trafficable,0.048,0.667,0.5
trafficker,-0.667,0.667,0.917
trafficking,-0.5,0.42,-0.202
tragedies,-0.8,0.82,-0.116
tragedy,-0.896,0.686,-0.32
tragic,-0.904,0.808,-0.208
tragic death,-0.976,0.328,-0.086
tragically,-1.0,-0.593,-0.667
trail,0.2,-0.356,-0.09
trail mix,-0.068,-0.112,-0.188
trailblazer,1.0,0.741,1.0
trailbreaker,0.917,0.667,0.917
trailer,0.082,-0.02,-0.054
trailer park,-0.206,-0.016,0.0
trailer trash,-0.49,0.082,-0.152
trailhead,0.429,0.333,0.083
trailside,0.444,-0.556,0.0
train,0.332,0.41,0.24
train at,0.03,0.114,0.034
train on,0.222,0.07,0.0
train set,0.208,0.196,-0.072
train station,0.1,0.298,0.096
train wreck,-0.608,0.384,-0.276
trainable,0.667,0.63,0.542
traindriver,0.0,1.0,0.625
trained,0.542,0.076,0.29
trainee,0.254,-0.184,-0.296
trainer,0.396,0.438,0.648
training,0.428,0.552,0.576
training camp,0.26,0.384,0.408
training ground,0.064,0.086,0.258
training program,0.5,-0.01,0.344
trainload,0.0,0.625,0.292
trainmaster,0.583,0.667,0.778
traipse,-0.25,0.667,-0.444
trait,-0.062,-0.27,-0.094
traitor,-0.776,0.592,-0.018
traitorous,-0.854,0.49,-0.176
traitorously,-1.0,0.667,0.0
trajectory,0.306,0.116,0.558
tram,0.209,0.462,-0.008
tramp,-0.784,0.02,-0.636
trample,-0.53,0.528,0.124
trampled,-0.917,0.867,-0.917
trampler,-0.778,0.963,0.926
trampoline,0.208,0.38,-0.218
tramway,0.23,0.076,0.086
trance,-0.062,-0.038,-0.236
trancelike,-0.333,-0.708,-0.542
tranquil,0.917,-0.937,-0.321
tranquility,0.68,-0.73,-0.116
tranquilization,0.5,-1.0,-0.75
tranquilize,0.333,-1.0,-0.667
tranquilized,0.667,-1.0,-0.815
tranquilizer,0.02,-0.528,0.192
tranquillity,1.0,-1.0,-0.5
tranquillization,0.667,-0.926,-0.63
tranquillize,0.333,-1.0,0.444
tranquilly,0.905,-1.0,-0.417
transact,0.042,0.25,0.36
transaction,0.3,0.154,0.158
transactional,0.0,0.667,0.458
transatlantic,0.448,0.192,0.412
transboundary,0.0,-0.074,0.556
transceiver,0.02,-0.02,0.074
transcend,0.208,0.542,0.452
transcendence,0.312,0.216,0.508
transcendent,0.334,0.2,0.648
transcendental,0.27,0.304,0.684
transcendentalism,0.667,-0.667,0.481
transcendentalist,0.292,-0.417,0.5
transcendentally,0.889,-0.19,0.5
transcendently,0.952,0.0,0.704
transcontinental,0.0,0.0,0.667
transcribe,0.0,-0.212,0.146
transcriber,-0.02,-0.16,0.23
transcript,0.278,-0.204,0.056
transcription,0.184,-0.09,0.23
transcriptional,0.0,0.667,0.259
transcultural,0.667,0.208,0.25
transdisciplinary,0.667,0.583,0.519
transducer,0.0,0.667,0.571
transduction,0.083,0.667,0.381
transect,0.0,0.667,0.542
transection,-0.667,0.259,0.083
transfer,0.404,-0.02,0.038
transfer fee,-0.25,0.0,0.134
transferability,0.667,-0.222,0.556
transferable,0.333,-0.037,0.381
transferee,0.042,-0.095,-0.148
transference,0.184,-0.412,0.102
transferral,0.042,0.481,0.222
transferred,-0.04,-0.1,-0.182
transferring,0.0,0.667,0.286
transfiguration,0.704,0.667,0.625
transfigure,0.926,0.667,0.611
transfix,0.083,0.667,0.417
transfixed,-0.146,0.32,0.056
transfixion,-0.37,0.667,-0.25
transform,0.47,0.334,0.392
transformability,0.667,-0.667,0.519
transformable,0.389,0.625,0.333
transformation,0.592,0.236,0.54
transformational,1.0,0.63,1.0
transformative,0.833,0.667,0.875
transformer,0.164,0.164,0.446
transfuse,0.667,0.63,0.417
transfusion,-0.166,0.46,0.114
transgenic,0.667,0.286,0.481
transgress,-0.667,0.667,0.0
transgression,-0.684,0.78,0.222
transgressor,-0.667,0.667,0.593
transience,-0.542,-0.667,-0.619
transiency,-0.333,-0.333,-0.417
transient,0.02,-0.19,-0.14
transiently,0.0,0.333,-0.238
transistor,-0.04,-0.04,-0.112
transit,-0.122,0.18,0.176
transit system,0.142,0.09,0.122
transition,0.21,0.122,0.116
transitional,0.146,-0.056,-0.018
transitionally,0.0,0.63,-0.185
transitive,-0.042,-0.246,-0.172
transitively,0.0,-0.333,0.222
transitiveness,0.0,0.0,0.417
transitivity,0.286,0.0,0.208
transitory,-0.124,-0.1,-0.186
translatable,0.556,-0.571,0.296
translate,0.208,-0.154,-0.076
translate into,-0.104,-0.134,0.064
translated,0.667,-0.222,0.0
translation,0.266,-0.13,0.196
translational,0.0,0.5,0.444
translator,0.52,-0.176,-0.054
transliterate,0.048,0.583,0.37
transliteration,0.095,-0.5,0.25
translocation,-0.266,0.224,0.128
translucence,0.667,-1.0,0.167
translucency,0.619,-1.0,0.333
